id,title,authors,countries,first_year_published,Title
1242,Let Us Now Praise Famous Men,James Agee,American,1941.0,let us now praise famous men
700,The Civil War,Shelby Foote,American,1974.0,civil war
34,Go Tell it on the Mountain,James Baldwin,American,1953.0,go tell it on mountain
77,Ragtime,E. L. Doctorow,American,1975.0,ragtime
195,Clarissa,Samuel Richardson,British,1748.0,clarissa
328,Berlin Alexanderplatz,Alfred Döblin,German,1929.0,berlin alexanderplatz
452,A Doll's House,Henrik Ibsen,Norwegian,1879.0,doll's house
2738,The Essential Writings of Ralph Waldo Emerson,Ralph Waldo Emerson,American,1882.0,essential writings of ralph waldo emerson
568,The God of Small Things,Arundhati Roy,Indian,1997.0,god of small things
1937,Selected Stories of Alice Munro,Alice Munro,Canadian,1996.0,selected stories of alice munro
1695,Molloy,Samuel Beckett,Irish,1951.0,molloy
732,The Right Stuff,Tom Wolfe,American,1979.0,right stuff
638,The Line of Beauty,Alan Hollinghurst,British,2004.0,line of beauty
344,The Killer Angels,Michael Shaara,American,1974.0,killer angels
1978,Electra,Sophocles,Greek,-409.0,electra
153,The Awakening,Kate Chopin,American,1899.0,awakening
147,The Fountainhead,Ayn Rand,American,1943.0,fountainhead
17,Call It Sleep,Henry Roth,American,1934.0,call it sleep
2747,Through the Looking Glass,Lewis Carroll,British,1871.0,through looking glass
2446,Nausea,Jean Paul Sartre,French,1938.0,nausea
24,A Dance to the Music of Time,Anthony Powell,British,1951.0,dance to music of time
1603,De Rerum Natura,Lucretius,Roman,-55.0,de rerum natura
1141,Underworld,Don DeLillo,American,1997.0,underworld
493,Memoirs of Hadrian,Marguerite Yourcenar,French,1951.0,memoirs of hadrian
434,The Talented Mr. Ripley,Patricia Highsmith,American,1950.0,talented mr. ripley
210,The Woman in White,Wilkie Collins,British,1860.0,woman in white
511,The Poisonwood Bible,Barbara Kingsolver,American,1998.0,poisonwood bible
1481,Half of a Yellow Sun,Chimamanda Ngozi Adichie,Nigerian,2007.0,half of yellow sun
2410,Brighton Rock,Graham Greene,British,1938.0,brighton rock
936,The Counterfeiters,André Gide,French,1925.0,counterfeiters
737,The Second World War,Winston Churchill,British,1953.0,second world war
1273,Dispatches,Michael Herr,American,1977.0,dispatches
2255,And Then There Were None,Agatha Christie,British,1939.0,and then there were none
73,Possession,A. S. Byatt,British,1990.0,possession
151,The Wonderful Wizard of Oz,L. Frank Baum,American,1900.0,wonderful wizard of oz
55,The Man Who Loved Children,Christina Stead,Australian,1940.0,man who loved children
949,Uncle Tom's Cabin,Harriet Beecher Stowe,American,1852.0,uncle tom's cabin
1289,The Book Thief,Markus Zusak,German,2005.0,book thief
180,War of the Worlds,H. G. Wells,British,1898.0,war of worlds
3536,The Underground Railroad,Colson Whitehead,American,2016.0,underground railroad
2472,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,Russian,1962.0,one day in life of ivan denisovich
243,Of Human Bondage,W. Somerset Maugham,British,1915.0,of human bondage
422,Le Morte d'Arthur,Thomas Malory,British,1485.0,le morte d'arthur
1153,The Quran,Various Authors,Arabic,600.0,quran
885,Leviathan,Thomas Hobbes,British,1651.0,leviathan
1079,Labyrinths,Jorge Luis Borges,Argentinian,1962.0,labyrinths
2145,Nine Stories,J. D. Salinger,American,1953.0,nine stories
13,The Blind Assassin,Margaret Atwood,Canadian,2000.0,blind assassin
62,Neuromancer,William Gibson,Canadian,1984.0,neuromancer
27,A Death in the Family,James Agee,American,1957.0,death in family
589,All the Pretty Horses,Cormac McCarthy,American,1992.0,all pretty horses
2462,Siddhartha,Hermann Hesse,German,1922.0,siddhartha
432,2001: A Space Odyssey,Arthur C. Clarke,British,1951.0,2001
1305,The Second Sex,Simone de Beauvoir,French,1949.0,second sex
60,Naked Lunch,William S. Burroughs,American,1959.0,naked lunch
738,Out of Africa,Isak Dinesen,Danish,1937.0,out of africa
459,Independent People,Halldor Laxness,Icelandic,1946.0,independent people
2743,The Mill on the Floss,George Eliot,British,1860.0,mill on floss
191,Pilgrim's Progress,John Bunyan,British,1678.0,pilgrim's progress
476,Pedro Paramo,Juan Rulfo,Mexican,1955.0,pedro paramo
1269,Dubliners,James Joyce,Irish,1914.0,dubliners
2371,The Adventures of Oliver Twist,Charles Dickens,British,1837.0,adventures of oliver twist
2559,Collected Poems,Wallace Stevens,American,1955.0,collected poems
724,Homage to Catalonia,George Orwell,British,1938.0,homage to catalonia
2201,Hiroshima,John Hersey,American,1946.0,hiroshima
2734,The Complete Poetry and Prose of William Blake,William Blake,British,1827.0,complete poetry and prose of william blake
628,The English Patient,Michael Ondaatje,Canadian,1992.0,english patient
148,Finnegans Wake,James Joyce,Irish,1939.0,finnegans wake
2924,Breakfast at Tiffany's,Truman Capote,American,1958.0,breakfast at tiffany's
226,The Rainbow,D. H. Lawrence,British,1915.0,rainbow
1694,Malone Dies,Samuel Beckett,Irish,1951.0,malone dies
164,Ethan Frome,Edith Wharton,American,1911.0,ethan frome
358,The Shipping News,E. Annie Proulx,American,1993.0,shipping news
