Title,Author,Rank,Genre,Year,Approx. sales (in millions),Bestseller
thorn birds,Colleen McCullough,365,Fiction,1977.0,20-50,Yes
old yeller,Fred Gipson,366,bildung,,<10,No
"ramona quimby, age 8",Beverly Cleary,367,Fiction,,<10,No
death in venice,Thomas Mann,368,Fiction,1912.0,<10,No
by the shores of silver lake,Laura Ingalls Wilder,369,autobio,,<10,No
inferno,Dan Brown,370,thrillers,,<10,No
schindler's list,Thomas Keneally,371,Fiction,1982.0,<10,No
jonathan livingston seagull,Richard Bach,372,allegories,1970.0,20-50,Yes
stand,Stephen King,373,horror,1978.0,<10,No
last juror,John Grisham,374,thrillers,,<10,No
shiloh,Phyllis Reynolds Naylor,375,Fiction,,<10,No
girl with a pearl earring,Tracy Chevalier,376,Fiction,,<10,No
murder of roger ackroyd,Agatha Christie,377,mystery,1926.0,<10,No
it,Stephen King,378,horror,1986.0,<10,No
rainmaker,John Grisham,379,Fiction,,<10,No
poisonwood bible,Barbara Kingsolver,380,Fiction,1998.0,<10,No
indian in the cupboard,Lynne Reid Banks,381,fantasy,,<10,No
maltese falcon,Dashiell Hammett,382,mystery,1930.0,<10,No
warden,Anthony Trollope,383,Fiction,1855.0,<10,No
summons,John Grisham,384,thrillers,,<10,No
encyclopedia brown,Donald J.  Sobol,385,mystery,,<10,No
time traveler's wife,Audrey Niffenegger,386,Fiction,2003.0,<10,No
incredible journey,Sheila Burnford,387,action,,<10,No
daughter of fortune,Isabel Allende,388,romance,,<10,No
shirley,Charlotte Brontë,389,history,,<10,No
"bud, not buddy",Christopher Paul Curtis,390,history,,<10,No
horse whisperer,Nicholas Evans,391,Fiction,1995.0,10-20,Yes
street lawyer,John Grisham,392,thrillers,,<10,No
nausea,Jean-Paul Sartre,393,Fiction,1938.0,<10,No
to have and have not,Ernest Hemingway,394,action,,<10,No
bridges of madison county,Robert James Waller,395,romance,,50-100,Yes
anne of the island,L.M. Montgomery,396,Fiction,,<10,No
winter of our discontent,John Steinbeck,397,Fiction,,<10,No
shining,Stephen King,398,horror,1977.0,<10,No
tenant of wildfell hall,Anne Brontë,399,Fiction,1848.0,<10,No
first family,David Baldacci,400,thrillers,,<10,No
partner,John Grisham,401,thrillers,,<10,No
girl on the train,Paula Hawkins,402,Fiction,,20-50,Yes
black arrow,Robert Louis Stevenson,403,history,,<10,No
rise of silas lapham,William Dea Howells,404,Fiction,,<10,No
choice,Nicholas Sparks,405,romance,,<10,No
virginian,Owen Wister,406,Fiction,,<10,No
a walk to remember,Nicholas Sparks,407,romance,,<10,No
maze runner,James Dashner,408,scifi,,<10,No
westing game,Ellen Raskin,409,mystery,,<10,No
misty of chincoteague,Marguerite Henry,410,Fiction,,<10,No
diary of a wimpy kid,Jeff Kinney,411,Fiction,,<10,No
king solomon's mines,H. Rider Haggard,412,action,1885.0,<10,No
princess of cleves,Madame de (Marie-Madeleine Pioche de La Vergne) La Fayett,413,Fiction,1678.0,<10,No
jacob have i loved,Katherine Paterson,414,Fiction,,<10,No
mrs. frisby and the rats of nimh,Robert C. O'Brien,415,fantasy,,<10,No
misery,Stephen King,416,horror,1987.0,<10,No
cider house rules,John Irving,417,bildung,1985.0,<10,No
king of the wind,Marguerite Henry,418,history,,<10,No
once and future king,T. H. White,419,fantasy,1958.0,<10,No
witches,Roald Dahl,420,Fiction,,<10,No
subtle knife,Philip Pullman,421,fantasy,,<10,No
when you reach me,Rebecca Stead,422,Fiction,,<10,No
carrie,Stephen King,423,horror,1974.0,<10,No
moon and sixpence,W. Somerset Maugham,424,Fiction,,<10,No
higher power of lucky,Susan Patron,425,Fiction,,<10,No
"looking backward, 2000-1887",Edward Bellamy,426,Fiction,,<10,No
wings of the dove,Henry James,427,romance,1902.0,<10,No
summer of the swans,Betsy Cromer Byars,428,Fiction,,<10,No
dangerous liaisons,Choderlos de Laclos,429,Fiction,,<10,No
jurassic park,Michael Crichton,430,scifi,1990.0,<10,No
absolutely true diary of a part-time indian,Sherman Alexie,431,Fiction,2007.0,<10,No
grey king,Susan Cooper,432,fantasy,,<10,No
leopard,Giuseppe Tomasi di Lampedusa,433,history,1958.0,<10,No
mammoth hunters,Jean M. Auel,434,history,,<10,No
trumpet of the swan,E.B. White,435,fantasy,,<10,No
lucky one,Nicholas Sparks,436,romance,,<10,No
these happy golden years,Laura Ingalls Wilder,437,history,,<10,No
arrowsmith,Sinclair Lewis,438,Fiction,1925.0,<10,No
julie of the wolves,Jean Craighead George,439,action,,<10,No
screwtape letters,C.S. Lewis,440,Fiction,,<10,No
fall,Albert Camus,441,Fiction,1956.0,<10,No
no. 1 ladies' detective agency,Alexander McCall Smith,442,mystery,1998.0,<10,No
worst case,James Patterson,443,thrillers,,<10,No
lost horizon,James Hilton,444,fantasy,1933.0,<10,No
gunslinger,Stephen King,445,fantasy,,<10,No
