225,Essays of E. B. White,E. B. White,1977
226,The Voyage of the Beagle,Charles Darwin,1839
228,Genetics and the Origin of Species,Theodosius Dobzhansky,1937
229,Coming of Age in Samoa,Margaret Mead,1928
230,Euclid's Elements,Euclid,-280
231,The Harmony of the Worlds,Johannes Kepler,1619
232,Enneads,Plotinus,250
233,Mein Kampf,Adolf Hitler,
234,Smoking and Health,Surgeon General,1962
235,Dust Tracks on a Road: An Autobiography,Zora Neale Hurston,1942
236,Satyagraha in South Africa,Gandhi,1928
237,The Argonauts,Maggie Nelson,2015
238,Reveille in Washington,Margaret Leech,1942
239,Common Sense,Thomas Paine,1775
240,The Revolt of the Masses,José Ortega y Gasset,1929
241,This Boy's Life,Tobias Wolff,1989
242,Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin,
243,Rationalism in Politics,Michael Oakeshott,1962
244,The Ants,"E. O. Wilson, Bert Hölldobler",1990
245,Economy and Society,Max Weber,1922
246,Sociobiology,Edward O. Wilson,1975
247,The Habit of Being,Flannery O'Connor,1978
248,Voices from Chernobyl,Svetlana Alexievich,2005
249,Centesimus Annus,Pope John Paul II,1991
250,The Age of Jackson,"Arthur M. Schlesinger, Jr",1945
251,The Pursuit of the Millennium,Norman Cohn,1957
252,The Sixth Extinction: An Unnatural History,Elizabeth Kolbert,2014
253,The Great Terror,Robert Conquest,1968
254,The Noonday Demon,Andrew Solomon,2001
255,Chronicles of Wasted Time,Malcolm Muggeridge,1972
256,América Hispánica: (1492-1898),Guillermo Céspedes del Castillo,1980
257,Metaphysics,Aristotle,
258,The Art of Memory,Frances A. Yates,1966
259,Present at the Creation,Dean Acheson,1969
260,The Hare with Amber Eyes: A Family's Century of Art and Loss,Edmund de Waal,2010
261,The American Language,H. L. Mencken,1919
262,Roughing It,Mark Twain,1872
263,Moneyball,Michael M. Lewis,
264,The Lives of a Cell,Lewis Thomas,1974
265,The Everlasting Man,G. K. Chesterton,1925
266,Reading Lolita in Tehran,Azar Nafisi,2003
267,An Essay Concerning Human Understanding,John Locke,1690
268,Maximes,François duc de La Rochefoucauld,1680
269,The House of Morgan,Ron Chernow,1990
270,Les Caractères ,Jean de La Bruyère,1688
271,The Shock Doctrine: The Rise of Disaster Capitalism,Naomi Klein,2007
272,Lettres de madame de Sévigné,Marie de Rabutin-Chantal marquise de Sévigné,1696
273,Radical Chic and Mau-Mauing the Flak Catchers,Tom Wolfe,1970
274,On Food and Cooking: The Science and Lore of the Kitchen,Harold McGee,1984
275,The Provincial Letters,Blaise Pascal,1656
276, The Unheavenly City,Edward C. Banfield,1970
277,Critique of Pure Reason,Immanuel Kant,1781
278,James Joyce,Richard Ellmann,1983
279,The Liars' Club,Mary Karr,1995
280,Bad Science,Ben Goldacre,2008
281,Seven Years in Tibet,Heinrich Harrer,1952
282,London: The Biography,Peter Ackroyd,2000
283,The Invention of Solitude,Paul Auster,1982
284,Letters from a Stoic,Seneca,65
285,The Crisis of European Sciences and Transcendental Phenomenology,Edmund Husserl,1936
286,The Rise of Theodore Roosevelt,Edmund Morris,1979
287,The End of History and the Last Man,Francis Fukuyama,1992
288,Correspondence,Voltaire,1778
289,"Unbroken: A World War II Story of Survival, Resilience, and Redemption",Laura Hillenbrand,
290,Notes from a Small Island,Bill Bryson,1995
291,The Devil In The White City,Erik Larson,2003
292,The Reluctant Fundamentalist,Mohsin Hamid,2007
293,Either Or,Soren Kierkegaard,1843
294,All the President's Men,"Bob Woodward, Carl Bernstein",
295,Tell Me How It Ends: An Essay in 40 Questions,Valeria Luiselli,2017
296,The Works of Max Beerbohm,Max Beerbohm,1896
297,Duke of Deception,Geoffrey Wolff,1979
298,Priestdaddy: A Memoir,Patricia Lockwood,2017
299,Essential Cuisine,Michel Bras,
300,El Bulli: 1998-2002,"Ferran Adria, Juli Soler, Albert Adria",2002
301,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Michael Azerrad,2001
302,Hollywood Babylon,Kenneth Anger,1959
303,The Americans,Robert Frank,1958
304,Larousse Gastronomique: The World's Greatest Culinary Encyclopedia,Joël Robuchon,2009
305,Philosophical Writings,Novalis,1801
306,The Social Contract,Jean-Jacques Rousseau,1762
307,"Gödel, Escher, Bach",Douglas Hofstadter,1979
308,God and Man at Yale,"William F. Buckley, Jr",1951
309,Ideas Have Consequences,Richard M. Weaver,1948
310, The Economy of Cities,Jane Jacobs,1969
311,The Closing of the American Mind,Allan Bloom,1987
312,Ethnic America,Thomas Sowell,1981
313,A Vindication of the Rights of Woman,Mary Wollstonecraft,1798
314,Reveries of a Solitary Walker,Jean-Jacques Rousseau,1782
315,The True History of the Conquest of New Spain,Bernal Díaz del Castillo,1576
316,Borstal Boy, Brendan Behan,1958
317,Pavel's Letters,Monika Maron,1999
318,The Drowned and the Saved,Primo Levi,1986
319,Wittgenstein's Nephew,Thomas Bernhard,1982
320,"Emile, or On Education",Jean-Jacques Rousseau,1762
321,Life is a Carawanserai Has Two Doors I Went in One I Came out the Other,Emine Sevgi Özdamar,
322,Down Second Avenue, Es'kia Mphahlele,1959
323,Before Night Falls, Reinaldo Arenas,1992
324,The Memory of Fire Trilogy,Eduardo Galeano,1986
325,Hideous Kinky, Esther Freud,1992
326,Love's Work,Gillian Rose,1995
327,Cataract,Mykhaylo Osadchy,1971
328,Promise at Dawn,Romain Gary,1960
329,Memoirs of My Nervous Illness,Daniel Paul Schreber,1903
330,Three Case Histories,Sigmund Freud,1963
331,Storm of Steel,Ernst Jünger,1920
332,The Rebel,Albert Camus,1951
333,The Struggle for Europe,Chester Wilmot,1952
334,The Road from Coorain,Jill Ker Conway,1989
335,Zeitoun,Dave Eggers,2009
336,Systematic Theology,Wolfhart Pannenberg,1988
337,The Campaign of the Marne,Sewell Tyng,1925
338,North,Seamus Heaney,1975
339,Titi Livi Ab urbe condita libri,Livy,-9
340,Tractatus Logico-Philosophicus,Ludwig Wittgenstein,1921
341,Insight: A Study of Human Understanding,Bernard Lonergan,1957
342,Disraeli,Robert Blake,1967
343,Democracy and Leadership,Irving Babbitt,1924
344,The Machiavellians,James Burnham,1943
345,Reflections of a Russian Statesman,Konstantin P. Pobedonostsev,1898
346,The Armies of the Night,Norman Mailer,1968
347,A Dictionary of the English Language,Samuel Johnson,1755
348,The Hero with a Thousand Faces,Joseph Campbell,1949
349,The ABC of Reading,Ezra Pound,1934
350,Second World War,John Keegan,1990
351,The Making of Homeric Verse,Milman Parry,1971
352,Great Bridge,David McCullough,1972
353,Care of the Soul: Guide for Cultivating Depth and Sacredness,Thomas More,1992
354,The Strange Ride of Rudyard Kipling,Angus Wilson,1977
355,Scrutiny,F. R. Leavis,1947
356,The Edge of the Sword,Charles De Gaulle,1960
357, Bureaucracy,Ludwig von Mises,1945
358,Balzac,Stefan Zweig,1946
359,The Good Society,Walter Lippmann,1937
360,The Christian Tradition,Jaroslav Pelikan,1973
361,Strange Defeat,Marc Bloch,1944
362,Looking Back,Norman Douglas,1998
363, Mont-Saint-Michel and Chartres,Henry Adams,1918
364,How to Cook,Delia Smith,1971
365,On War,Carl Von Clausewitz,1832
366,Citizens,Simon Schama,1989
367,The Life of Charlotte Brontë,Elizabeth Gaskell,1857
368,Poetry and the Age,Randall Jarrell,1953
369,Love in the Western World,Denis de Rougemont,1939
370,Wealth and Poverty,George Gilder,1981
371,Darwin's Black Box,Michael J. Behe,1996
372,The Way the World Works,Jude Wanniski,1978
373,To the Finland Station,Edmund Wilson,1940
374,Civilisation,Kenneth Clark,1969
375,The Russian Revolution,Richard Pipes,1990
376,A People's History of the United States,Howard Zinn,1980
377,The Idea of History,R. G. Collingwood,1946
378,The Last Lion,William Manchester,1988
379,The Starr Report,Kenneth W. Starr,1998
