Title,Year
twice-told tales,1837.0
independence day,1995.0
outsiders,1967.0
poems of walt whitman,1892.0
da vinci code,2006.0
old filth,2004.0
collected works of st. john of the cross,1618.0
mists of avalon,1983.0
dept. of speculation,2014.0
outlander,1991.0
mumbo jumbo,1972.0
horse's mouth,1944.0
never mind,1992.0
at last,2012.0
some hope,1994.0
bad news,1992.0
collected works of edna st. vincent millay,1950.0
le cid,1637.0
slaves of solitude,1947.0
asymmetry,2018.0
forbidden colours,1951.0
mortals,2003.0
fables of la fontaine,1694.0
petrarch's songbook,1374.0
family sayings,1963.0
faerie queene,1590.0
complete poems of samuel taylor coleridge,1834.0
legends of fall,1979.0
lottery and other stories,1949.0
collected stories,1965.0
american genius,2006.0
saint joan,1923.0
master builder,1892.0
wild duck,1885.0
el buscón,1626.0
cannery row,1945.0
gaudy night,1935.0
horse whisperer,1995.0
phaedrus,-370.0
one hundred and one poems by paul verlaine,1999.0
"goodbye, columbus",1959.0
a streetcar named desire,1947.0
interior castle,1577.0
from here to eternity,1951.0
last orders,1996.0
selected poems,1585.0
confessions of nat turner,1967.0
suttree,1979.0
poems of friedrich hölderlin,1843.0
twelfth night,1602.0
emigrants,1992.0
les filles du feu,1854.0
going after cacciato,1979.0
preparation for the next life,2015.0
soledades,1613.0
book of the city of ladies,1405.0
great fire,2003.0
bostan,1257.0
njal's saga,1200.0
masnavi,1250.0
daphnis and chloe,200.0
poems of eugenio montale,1975.0
children of gebelawi,1059.0
sound of the mountain,1970.0
poems,2001.0
parzival,1200.0
complete writings of alfred de musset,1857.0
a high wind in jamaica,1929.0
van,1991.0
song of songs,
sóngoro cosongo,1931.0
curial e güelfa,
black prince,1973.0
pigs in heaven,1993.0
collected poems of william carlos williams,1939.0
days without end,2016.0
figaro trilogy,1792.0
girl with the dragon tattoo,2005.0
eye of needle,1978.0
she stoops to conquer,1773.0
stories of washington irving,1859.0
"germany, a winter tale",1844.0
les tragiques,1616.0
les destinées,1864.0
betrayed by rita hayworth,1968.0
la siesta de m. andesmas,1964.0
calila e dimna,1251.0
coplas por la muerte de su padre,1476.0
way of a pilgrim,
ubu roi,1896.0
sir gawain and the green knight,2007.0
collected works of paul valéry,1945.0
daisy miller,1878.0
return of the native,1878.0
lunch poems,1964.0
hamlet,1940.0
complete poetry of césar vallejo,1979.0
conversation in the cathedral,1969.0
carmen,1845.0
sabbath's theater,1995.0
poems of percy bysshe shelley,1822.0
homegoing,2016.0
wanderer,1913.0
trainspotting,1993.0
"hateship, friendship, courtship, loveship, marriage",2006.0
marivaux,1763.0
beauty of husband,2001.0
la légende des siècles,1859.0
zazie in the metro,1959.0
sandman,1991.0
elizabeth costello,2003.0
poems,
gospels,66.0
guzmán de alfarache,1599.0
children of men,1992.0
kane and abel,1979.0
poems of pablo neruda,1975.0
los lanzallamas,1931.0
last books of hector viel temperley,1982.0
manhattan transfer,1925.0
little house on the prairie,
calligrammes,1918.0
unless,2002.0
american tabloid,1995.0
residence on earth,1933.0
trilce,1922.0
poems of jaime gil de biedma,1982.0
rimas,1850.0
juan de mairena,1936.0
hardy boys,1927.0
manticore,1972.0
lad,1919.0
nero wolfe,1934.0
progress of love,1986.0
world of wonders,1975.0
death on credit,1936.0
mrs. bridge,1959.0
poetry of derek walcott 1948-2013,2013.0
kolyma tales,1954.0
complete poems,1985.0
we have always lived in the castle,1962.0
complete stories,1967.0
mr bridge,1969.0
princess bride,1973.0
collected stories,2009.0
first man,1994.0
demian,1919.0
mortal y rosa,1975.0
sonnets,1625.0
poems of góngora,1600.0
last evenings with teresa,1965.0
aunt julia and the scriptwriter,1977.0
illuminations,1886.0
bohemian lights,1924.0
shadow line,1917.0
"spain, take this chalice from me",1937.0
three plays,1955.0
wry-blue loves,1873.0
les contemplations,1856.0
la nuit obscure,
poetry,
diary of a country priest,1936.0
jungle book,1894.0
ellen foster,1987.0
villette,1853.0
"sing, unburied, sing",2017.0
brick lane,2003.0
war and remembrance,1978.0
violent bear it away,1960.0
centennial,1974.0
mandarins,1954.0
chaka,
bells of basel,1934.0
parable of the blind,1985.0
news from nowhere,1890.0
man of feeling,1771.0
nada,1945.0
kitchen,1987.0
cigarettes,1987.0
waterland,1983.0
billy liar,1959.0
a dry white season,1979.0
history of the siege of lisbon,1989.0
miramar,1967.0
afternoon of a writer,1987.0
hive,1951.0
"w, or the memory of childhood",1975.0
enormous room,1922.0
bell,1958.0
"couples, passersby",1981.0
willard and his bowling trophies,1975.0
late-night news,1995.0
reasons to live,1985.0
enchanted wanderer,1873.0
hallucinating foucault,1996.0
forever a stranger,1996.0
fall on your knees,1996.0
blind owl,1937.0
giles goat-boy,1966.0
diviners,1974.0
swarm,2004.0
z,1967.0
viper’s tangle,1952.0
pereira maintains,1994.0
fruits of the earth,1897.0
cause for alarm,1938.0
sandokan,1900.0
what maisie knew,1897.0
honorary consul,1973.0
under the skin,2000.0
dangling man,1944.0
midaq alley,1947.0
contact,1985.0
a light comedy,1996.0
extinction,1986.0
book about blanche and marie,2004.0
history of love,
heartbreak tango,1969.0
twilight years,1972.0
street of crocodiles,1934.0
tree of man,1955.0
nun,1796.0
forest of the hanged,1922.0
magician of lublin,1960.0
crime of father amaro,1875.0
eclipse of the crescent moon,1899.0
deadbeats,1957.0
arcanum 17,1945.0
anagrams,1986.0
obabakoak,1989.0
triple mirror of the self,1992.0
busconductor hines,1984.0
black box,1987.0
luka,1974.0
group portrait with lady,1971.0
grass is singing,1950.0
cost,2008.0
north and south,1854.0
i malavoglia,1881.0
well of loneliness,1928.0
back,1946.0
first garden,1988.0
heavy wings,1981.0
land,1994.0
story of o,1954.0
closely watched trains,1965.0
halftime,1960.0
compassion,1897.0
a town like alice,1950.0
conversations in sicily,1941.0
get shorty,1990.0
book of daniel,1971.0
"gabriela, clove and cinnamon",1958.0
shame,1983.0
uncle silas,1864.0
bitter glass,1958.0
case worker,1969.0
marks of identity,1966.0
house mother normal,1971.0
left-handed woman,1976.0
tarr,1918.0
