Title,Author,Rank,Genre
The Joy Luck Club,Amy Tan,236,gen_fiction
The Silmarillion,J.R.R. Tolkien,237,fantasy
Roots,Alex Haley,238,gen_fiction
Little House on the Prairie,Laura Ingalls Wilder,239,autobio
Native Son,Richard Wright,240,gen_fiction
Stuart Little,E.B. White,241,action
Cross Fire,James Patterson,242,gen_fiction
The Power and the Glory,Graham Greene,243,mystery
A Clockwork Orange,Anthony Burgess,244,scifi
The Phantom of the Opera,Gaston Leroux,245,horror
The Martian Chronicles,Ray Bradbury,246,scifi
The Road,Cormac McCarthy,247,gen_fiction
The Way of All Flesh,Samuel Butler,248,gen_fiction
Diary of a Wimpy Kid: The Long Haul,Jeff Kinney,249,gen_fiction
Villette,Charlotte Brontë,250,gen_fiction
The Curious Incident of the Dog In the Night-Time,Mark Haddon,251,mystery
The Mysterious Island,Jules Verne,252,scifi
Song of Solomon,Toni Morrison,253,gen_fiction
Nana,Émile Zola,254,gen_fiction
Quo Vadis,Henryk Sienkiewicz,255,history
Main Street,Sinclair Lewis,256,gen_fiction
Matilda,Roald Dahl,257,gen_fiction
Lolita,Vladimir Vladimirovich Nabokov,258,romance
Paper Towns,John Green,259,bildung
Sounder,William H. Armstrong,260,gen_fiction
"Are You There God? It's Me, Margaret",Judy Blume,261,gen_fiction
The Notebook,Nicholas Sparks,262,romance
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,E.L. Konigsburg,263,gen_fiction
Atlas Shrugged,Ayn Rand,264,scifi
The Fountainhead,Ayn Rand,265,gen_fiction
Number the Stars,Lois Lowry,266,history
The Firm,John Grisham,267,gen_fiction
Swann's Way,Marcel Proust,268,autobio
Ender's Game,Orson Scott Card,269,scifi
The Name of the Rose,Umberto Eco,270,history
A Time to Kill,John Grisham,271,gen_fiction
Water for Elephants,Sara Gruen,272,romance
The Time Machine,H.G. Wells,273,scifi
Eragon,Christopher Paolini,274,fantasy
The Hitchhiker's Guide to the Galaxy,Douglas Adams,275,scifi
Buddenbrooks,Thomas Mann,276,gen_fiction
A Thousand Splendid Suns,Khaled Hosseini,277,gen_fiction
The Witch of Blackbird Pond,Elizabeth George Speare,278,gen_fiction
And Then There Were None,Agatha Christie,279,mystery
A Separate Peace,John Knowles,280,history
Breaking Dawn,Stephenie Meyer,281,romance
As I Lay Dying,William Faulkner,282,gen_fiction
The Girl Who Played With Fire,Stieg Larsson,283,thrillers
Where the Red Fern Grows,Wilson Rawls,284,bildung
Le Morte D'Arthur,Thomas Malory,285,gen_fiction
Mockingjay,Suzanne Collins,286,scifi
The Pillars of the Earth,Ken Follett,287,history
Persian Letters,Montesquieu,288,gen_fiction
The Client,John Grisham,289,gen_fiction
Sula,Toni Morrison,290,gen_fiction
